id,lsl_ts,unix_ts,TP9,AF7,AF8,TP10,AUX
11261,11327.6966905832,1706652016.0,84.9609375,28.80859375,11.23046875,66.89453125,-144.04296875
11262,11327.700688180132,1706652016.0,130.37109375,32.2265625,14.16015625,85.9375,-38.57421875
11263,11327.704685777064,1706652016.0,124.51171875,36.62109375,12.6953125,72.75390625,193.359375
11264,11327.708683373996,1706652016.0,81.0546875,36.62109375,13.18359375,53.7109375,147.94921875
11265,11327.712680970928,1706652016.0,66.89453125,33.203125,13.671875,55.17578125,-21.97265625
11266,11327.71667856786,1706652016.0,68.359375,20.99609375,17.08984375,66.89453125,9.765625
11267,11327.720676164792,1706652016.0,83.49609375,23.4375,12.20703125,65.91796875,202.1484375
11268,11327.724673761724,1706652016.0,47.36328125,30.76171875,14.6484375,38.57421875,-22.4609375
11269,11327.728671358656,1706652016.0,28.80859375,29.78515625,16.11328125,20.01953125,-63.4765625
11270,11327.732668955588,1706652016.0,45.41015625,27.83203125,14.16015625,24.90234375,-20.5078125
11271,11327.73666655252,1706652016.0,60.05859375,37.59765625,13.671875,27.34375,-125.9765625
11272,11327.740664149453,1706652016.0,79.1015625,50.78125,19.53125,14.16015625,-76.171875
11273,11327.744661746385,1706652016.0,37.59765625,53.22265625,25.87890625,2.9296875,-60.05859375
11274,11327.748659343317,1706652016.0,31.25,45.8984375,22.4609375,28.80859375,291.50390625
11275,11327.752656940249,1706652016.0,59.5703125,58.10546875,14.16015625,33.69140625,451.171875
11276,11327.756654537181,1706652016.0,46.38671875,75.1953125,10.25390625,24.90234375,87.40234375
11277,11327.760652134113,1706652016.0,26.85546875,72.265625,3.90625,10.7421875,89.84375
11278,11327.764649731045,1706652016.0,37.59765625,64.453125,-3.41796875,-5.859375,235.83984375
11279,11327.768647327977,1706652016.0,34.1796875,79.1015625,-5.859375,-14.16015625,-43.9453125
11280,11327.77264492491,1706652016.0,25.87890625,98.6328125,-8.30078125,-16.6015625,-116.2109375
11281,11327.773004742328,1706652016.0,14.16015625,94.23828125,-10.7421875,-5.859375,-46.38671875
11282,11327.776925866568,1706652016.0,-34.1796875,86.9140625,-17.08984375,-11.23046875,-152.83203125
11283,11327.780846990809,1706652016.0,-65.91796875,84.47265625,-21.484375,-31.73828125,-181.15234375
11284,11327.784768115049,1706652016.0,-66.89453125,90.8203125,-22.4609375,-36.62109375,-179.6875
11285,11327.788689239289,1706652016.0,-92.28515625,95.703125,-18.06640625,-31.73828125,-82.51953125
11286,11327.79261036353,1706652016.0,-120.1171875,90.33203125,-24.90234375,-55.6640625,2.44140625
11287,11327.79653148777,1706652016.0,-88.37890625,96.19140625,-24.4140625,-46.875,-59.08203125
11288,11327.80045261201,1706652016.0,-69.82421875,109.375,-23.4375,-46.38671875,-155.76171875
11289,11327.80437373625,1706652016.0,-124.0234375,103.02734375,-25.390625,-38.0859375,-11.71875
11290,11327.80829486049,1706652016.0,-151.85546875,107.421875,-20.01953125,-22.94921875,261.71875
11291,11327.81221598473,1706652016.0,-150.390625,115.234375,-10.25390625,-41.50390625,145.5078125
11292,11327.81613710897,1706652016.0,-118.65234375,115.72265625,-3.90625,-33.203125,-13.18359375
11293,11327.82005823321,1706652016.0,-83.0078125,120.60546875,-7.8125,-27.83203125,39.55078125
11294,11327.82397935745,1706652016.0,-114.2578125,129.8828125,-17.08984375,-32.2265625,13.18359375
11295,11327.82790048169,1706652016.0,-100.09765625,135.7421875,-18.06640625,-51.7578125,-99.609375
11296,11327.83182160593,1706652016.0,-64.453125,128.90625,-9.765625,-62.01171875,-98.14453125
11297,11327.83574273017,1706652016.0,-77.1484375,127.44140625,-6.8359375,-47.36328125,141.11328125
