id,lsl_ts,unix_ts,TP9,AF7,AF8,TP10,AUX
7202,853528.1024559352,1705745249.0,-3.90625,-597.65625,-277.34375,-45.41015625,-409.1796875
7203,853528.106201348,1705745249.0,-5.37109375,-567.3828125,-289.55078125,-35.64453125,-306.15234375
7204,853528.1099467608,1705745249.0,13.671875,-845.21484375,-383.7890625,-13.18359375,-145.01953125
7205,853528.1223811724,1705745249.0,38.0859375,-934.5703125,-361.81640625,-7.8125,-133.7890625
7206,853528.1257927922,1705745249.0,34.66796875,-850.09765625,-314.453125,-20.99609375,-124.51171875
7207,853528.129204412,1705745249.0,28.80859375,-887.20703125,-301.26953125,-25.390625,-89.35546875
7208,853528.1326160318,1705745249.0,23.92578125,-1000.0,-445.3125,-19.53125,253.41796875
7209,853528.1360276516,1705745249.0,31.25,-916.015625,-348.14453125,-13.18359375,842.28515625
7210,853528.1394392714,1705745249.0,54.19921875,-130.37109375,98.14453125,-15.13671875,658.203125
7211,853528.1428508912,1705745249.0,59.5703125,-86.42578125,-45.41015625,-0.9765625,241.2109375
7212,853528.146262511,1705745249.0,35.15625,-855.46875,-372.0703125,-0.48828125,91.796875
7213,853528.1496741308,1705745249.0,19.53125,-707.03125,-208.49609375,-38.57421875,-26.3671875
7214,853528.1530857506,1705745249.0,20.5078125,-403.80859375,-143.06640625,-50.29296875,-333.0078125
7215,853528.1564973705,1705745249.0,16.6015625,-735.3515625,-333.49609375,-38.57421875,-419.921875
7216,853528.1599089903,1705745249.0,9.27734375,-855.46875,-343.75,-38.0859375,-374.0234375
7217,853528.1633206101,1705745249.0,19.04296875,-523.4375,-206.54296875,-31.73828125,-217.28515625
7218,853528.1667322299,1705745249.0,28.3203125,-634.765625,-239.2578125,-29.78515625,-12.6953125
7219,853528.1701438497,1705745249.0,12.20703125,-847.65625,-370.1171875,-41.9921875,95.21484375
7220,853528.1735554695,1705745249.0,11.71875,-1000.0,-518.5546875,-22.94921875,630.859375
7221,853528.1769670893,1705745249.0,24.4140625,-487.3046875,-81.54296875,-13.671875,898.4375
7222,853528.1803787091,1705745249.0,31.25,262.20703125,142.578125,-34.1796875,557.6171875
7223,853528.1837903289,1705745249.0,23.92578125,-49.31640625,-10.7421875,-44.43359375,546.875
7224,853528.1872019487,1705745249.0,6.8359375,-84.9609375,9.765625,-55.17578125,568.84765625
7225,853528.2032588478,1705745249.0,3.41796875,-90.8203125,-80.078125,-61.03515625,78.61328125
7226,853528.2080983637,1705745249.0,17.08984375,-499.0234375,-309.08203125,-44.921875,-361.81640625
7227,853528.2129378796,1705745249.0,15.625,-837.890625,-406.25,-45.8984375,-407.71484375
7228,853528.2177773955,1705745249.0,4.39453125,-827.1484375,-337.890625,-52.734375,-469.7265625
